Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Rocks and Minerals,55,c55,The Beryl Pit,,45.314351,-77.3782,"This is another popular spot with an active open pit and a mine dump where beryl, magnetite, mica, amazonite, tourmaline, garnet, zircon, fluorite, and a wide variety of feldspars can be readily collected. ",n,,,,,,n,16,a,4,http://planetrocks.ca/wp-content/uploads/C55.png
Earth History,56,c56,Burleigh Falls Unconformity,,44.572387,-78.23636,"An [Unconformity] is simply a missing chapter in the rock record where time went unrecorded (e.g., Sites [C57], [E13], [E14]). Check out the one near beautiful Burleigh Falls on Highway 36, 3.7 kilometres west of the falls. Here, [Paleozoic] [Sedimentary rocks] ([Shales] and pebbly [Conglomerates]) of the Shadow Lake[Formations]ome 500 million year-old, rest unconformable on steeply-dipping 1,000 million year old Grenville [Gneisses] and [Diorites]. Right at the top of this fine [Outcrop] are white coloured [Limestones] that belong to the Gull River[Formations]ome 460 million years old.   ",y,,,9.72,0,2.28,n,16,,6,http://planetrocks.ca/wp-content/uploads/C56.png
Earth History,57,c57,Highway 7 Unconformity near Marmora,,44.50183333,-77.52716667,"An [Unconformity] is simply a missing chapter in the rock record where time went unrecorded. An [Unconformity] between billion year old rocks at the base and 500 million years old rocks above occurs on the north side of Highway 7 east of Marmora. Large cobbles occur along the [Unconformity] recording the [Erosion] of the older rocks prior to flooding by a warm shallow sea during the [Ordovician] (See also [C56], [E13], [E14]).",y,,,324.23,0,2.05,n,16,,6,http://planetrocks.ca/wp-content/uploads/C57.png
Rocks and Minerals,58,c58,Huckleberry Rock,Drive-through Pluton,45.088,-79.48133333,"[Granites] are 'intrusive' [Igneous rocks] created by [Magma] cooling at depth and are thus considered as 'plutonic' (after Pluto, God of the Underworld). These rocks tend to form large circular or ovoid masses many kilometres in diametre forming upstanding dome-like hills when exposed by deep [Erosion] (think Rio de Janeiro, Yosemite and the rounded mountains of the Coast Ranges in British Columbia). There are many tens of plutons in Ontario scattered across the Grenville [Province] but the best is at Milford near Lake Muskoka and which is sliced open by deep road cuts along Highway 118. Easy hiking trails meander to the rounded 'sugar loaf' summit of Huckleberry Rock.  ",y,,,313.2,0,-10.94,n,16,,4,http://planetrocks.ca/wp-content/uploads/C58.png
Historic,59,c59,Canada Talc Mine at Madoc   ,,44.50418333,-77.45508333,"Until very recently, the famous Canada Talc Mine at Madoc which began production in 1896 was one of just three mines in the world to have operated for more than 100 years. The famous Henderson talc deposit was formed a billion years ago by the alteration of dolomitic [Marble] during the nearby [Intrusion] of a large [Granite] body called a[Pluton](See Site [C58]). [Marble] is a very common rock throughout the Central [Metasediment]ary Belt (Site [E44]). Very hot silica-rich fluids altered the [Dolomite] to a[ Mineral ]called tremolite and then to talc (magnesium [Silicate]). The underground[ Ore ]body resembles a steeply-dipping sheet about 20 m thick plunging down at least 250 m underground and has been folded. The talc being mined is of exceptional pureness and was used as a filler ('extender') in the white traffic marker paint used on roads and for the lines on sport fields), in paper and as a replacement for corn starch in coffee whiteners.  Environmental concerns and the growing cost of draining the mine of water flowing down through [Fractures] was eventually too much and a unique piece if Ontario's mining history with links back to the original exploration boom in the area at Eldorado in 1866 (Site [C33]) finally came to an end in 2010. Today a lonely boulder and chips of talc by the former mine entrance are all that reminds us of its long history.",n,,,,,,n,16,a,5,http://planetrocks.ca/wp-content/uploads/C59.png
Earth History,60,c60,Spillway!,The Kirkfield Outlet of Glacial Lake Algonquin,44.55942778,-78.97838056,"12,000 years ago, much of Southern Ontario was flooded by giant glacial lakes; Lake Algonquin which filled the present day Huron Basin (Site [C15]) extending to North Bay and as far east as Barrie, and glacial Lake Iroquois which filled the Ontario basin ([S14]). The waters of Lake Algonquin overflowed eastwards toward Lake Iroquois through a deep channel at present day Kirkfield; the Trent-Severn Canal follows the same route ([C23]). Highway 6 just south of Kirkfield affords a great view northwards over the old spillway; imagine the scene back then of a giant river probably choked with ice many more times larger than the Niagara River today. Fossil-rich [Limestones] [Outcrop] on the side of Highway 6 to the south ([C25]).",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/C60.png
Nature,61,c61,Prince Edward Point,The Far Eastern Extremity of Prince Edward County,43.94106111,-76.86049444,It is not too easy to feel remote in Southern Ontario but try the drive to Rocky Point to savour the feeling of being 'away from it all.'  Prince Edward Point Natural Wildlife Area lies at the far end of Long Point on the south side of Prince Edward Bay and overlooks the crystal clear and often blue waters of Lake Ontario and the False Duck Islands. The coast is dominated by flat platforms and low cliffs of [Ordovician] [Limestones] that show [Fractures] called '[Joints]'. Inland are extensive [Limestone] plains lacking any[ Soil ]and forming natural grasslands. Visit nearby Sandbanks Provincial Park too (Site [C30]).,n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/C61.png
Rocks and Minerals,62,c62,The Former MacDonald Mine,,45.16333333,-77.82028333,"The MacDonald Mine was used to mine feldspar from 1919 to 1935; radioactive ellsworthite was mined during the Bancroft uranium rush in 1956. There are many [Pegmatite] dikes that contain feldspar crystals of up 5 m in length caused by the slow cooling of the [Granitic] [Magma]. Bring a flashlight to explore the various caves and tunnels. Unfortunately, the mine is now closed.",n,,,,,,n,14,a,4,http://planetrocks.ca/wp-content/uploads/C62.png
Earth History,63,c63,Eagle's Nest Lookout,,45.073278,-77.85641,"Enjoy a panoramic view over Bancroft and the surrounding Canadian [Shield] from the Eagle's Nest Lookout reached by a side road close to the Tim Hortons. A billion years ago, high mountains stood above this spot and were worn down to form the present low relief [Shield] surface. This process was complete by at least 550 million years ago when shallow seas swept across Ontario leaving [Limestones]. In many areas patches of the [Limestone] can be seen resting on the eroded [Shield] below (Sites [E13], [E14], [C56], [C57]).",n,,,,,,n,14,a,6,http://planetrocks.ca/wp-content/uploads/C63.png
Historic,64,c64,Chippewa III ,,45.33995,-80.03407222,"The Chippewa III now plies her trade as a tour boat out of the Town Dock at Parry Sound making runs among the beautiful 30,000 islands but she has a colorful past. Formerly she was Maid of the Mist III working on the Niagara River. Built in 1955 in Owen Sound, she was delivered in four pieces to Niagara, reassembled and worked below Niagara Falls until 1992 when she was retired. ",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C64.png
Historic,65,c65,Hekkla,,45.2657,-79.58095,"Tucked away off the main road in Muskoka just off Highway 141 is a sign that commemorates a fascinating tale in the story of European migration to Ontario. Natural disasters in Iceland are commonplace (an eruption in 1783 killed 9000) and bad winters, expanding glaciers and cool summers in the nineteenth century forced many Icelanders to move to North America. In 1873 a[ Group ]of about 100 arrived in Rousseau in Muskoka after travelling north along the Parry Sound Colonization Road (now Highway 141) where they named a small community after one of Iceland's most dangerous volcanoes (Hekkla) while a larger[ Group ]of about 250 went to Kinmount with the intention of setting up an Icelandic colony. It soon became evident that the heavily-forested [Granite] barrens of the area could not support such a large undertaking (Site [C70]) and the[ Group ]made their way west to the newly opened farmlands of Manitoba.",n,,,,,,n,14,,5,http://planetrocks.ca/wp-content/uploads/C65.png
Historic,66,c66,Wenonah II,,44.920388,-79.38249,"This is another old lady of the lakes but with a difference.  Now based in Gravenhurst as a summer cruise boat, she was only built in 2002 and is a replica of the old steam ships that used to service the Muskoka lakes taking cottagers and their supplies and delivering mail in an[ Era ]of few roads. She is part of a fleet that includes the SS Segwun which was restored in 1981 after having been retired in 1958",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C66.png
Historic,67,c67,SS Keewatin,,44.75452,-79.797202,"The SS Keewatin is perhaps Canada's most famous ship: a survivor from the Edwardian[ Era ]when there few roads in northern Ontario and transport between the south and Lake Superior was by steamer. Built in Govan, Scotland in 1907, using the same type of steam engine as on the Titanic, she plied her trade between the Canadian Pacific railheads at Port McNicoll on Georgian Bay (near Midland) and Port Arthur (now Thunder Bay) until 1966. Said to be the last Edwardian-era steamer left in the world she returned to her original home port of Port McNicoll in 2012 which at one time was known as 'Chicago of the North' because of the large numbers of immigrants who moved west by steamer.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C67.png
Historic,68,c68,The Victoria Road,,44.74085,-79.008833,This is a famous 'colonization road' designed to ease the northward movement of immigrants onto the southern flanks of the Canadian [Shield] looking for new land to farm. Today it offers unique glimpses of the [Limestone] plains that abut the southern margins of the [Shield]. Piles of boulders cleared from fields tell of the enormous effort of 'farming rock.',n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C68.png
Historic,69,c69,Ojibway Club,,45.535819,-80.456586,"This is fine old wooden building from 1906 is typical of [Accommodation] once common through northern Ontario and now rare; a grand stately hotel where all the comforts of home were available in the wilderness.  Today it continues to be operated as a hotel by the local Pointe au Baril community and offers a wide variety of summer activities among the beautiful 30,000 islands of Georgian Bay ([C6]).",n,,,,,,n,15,,5,http://planetrocks.ca/wp-content/uploads/C69.png
Historic,70,c70,Road of Broken Dreams ,The Peterson Road,45.231433,-77.93685,"Colonization roads' were built to ease the northward movement of immigrants onto the Canadian [Shield] in the mid nineteenth century. The Peterson Road was one such road and though long abandoned, parts of it can still be travelled. Imagine early settlers faced with farming the rocky landscape of the [Shield]; most turned to lumbering of white pines but once this resource was exhausted many continued westward to Manitoba and the deep soils of the Prairies.",n,,,,,,n,14,a,5,http://planetrocks.ca/wp-content/uploads/C70.png
Historic,71,c71,St. George's Church at Sutton,,44.331162,-79.332456,"The Gothic styled St. George's Church located on 408 Hedge Road sits atop a glacial [Drumlin] ridge where Sibbald Point projects out into Lake Simcoe at Sibbald Provincial Park and affords a fine view north over the lake. But it is also noted for its geology for it is made of beautifully coloured glacial [Erratic] boulders (See Sites [C32], [C45], [S105], [S115]) brought down from central and northern Ontario by an [Ice sheet] during the last [Ice age] 20,000 years ago.  Boulders were collected from the surrounding fields and squared off to make building stones during its construction 1876 to 1877; its walls include a great variety of Canadian [Shield] rocks. Stephen Leacock once Canada's most famous writer, is buried in the churchyard.",y,44.331141,-79.332391,345.22,0,-12.43,n,16,,5,http://planetrocks.ca/wp-content/uploads/C71.png
